Z,θ,R,X,f,Re,Ri,Cm
611.788,-0.1538,604.5665006261933,93.72248003867128,14,666,989,3.08
607.9437,-0.1623,599.9542501710044,98.23665340104928,15,666,989,3.08
603.43,-0.1691,594.8230557520328,101.55440534912294,16,666,989,3.08
599.0089,-0.1773,589.6185285576738,105.64872484177747,17,666,989,3.08
594.4958,-0.184,584.460535915089,108.77103555398793,18,666,989,3.08
590.0837,-0.1906,579.3977226407238,111.79021426060895,19,666,989,3.08
585.5496,-0.1968,574.2469121331942,114.49374640412313,20,666,989,3.08
581.1927,-0.2026,569.3054061927376,116.94575243681172,21,666,989,3.08
576.3487,-0.2073,564.0091843287815,118.623201712281,22,666,989,3.08
571.9161,-0.2123,559.0759375680985,120.50776519196438,23,666,989,3.08
567.8353,-0.2169,554.5305049095125,122.20002884979631,24,666,989,3.08
563.4684,-0.2206,549.8134960651697,123.29540682099888,25,666,989,3.08
558.8752,-0.2247,544.8256336147721,124.52517067365159,26,666,989,3.08
554.3067,-0.2282,539.9363969075855,125.39778689970696,27,666,989,3.08
550.6855,-0.231,536.0581535791592,126.08003764098672,28,666,989,3.08
546.5509,-0.2338,531.680918433023,126.62261750977649,29,666,989,3.08
542.3005,-0.236,527.2684790179585,126.79819925511062,30,666,989,3.08
538.2456,-0.2386,522.9969980064596,127.21032189091889,31,666,989,3.08
534.4683,-0.2405,519.0857689942596,127.30407743873788,32,666,989,3.08
531.0095,-0.2425,515.4725249619243,127.51143125080351,33,666,989,3.08
527.1996,-0.2438,511.6090921024197,127.26175827128074,34,666,989,3.08
523.6596,-0.245,508.0217235402402,127.01694801625372,35,666,989,3.08
520.4775,-0.2459,504.8208244766827,126.69949952913113,36,666,989,3.08
516.763,-0.2471,501.0667465421496,126.39665216557464,37,666,989,3.08
513.5482,-0.248,497.8363425075049,126.05843804359228,38,666,989,3.08
510.226,-0.2481,494.6032574798993,125.29241304353776,39,666,989,3.08
507.1969,-0.2486,491.60457053468826,124.7943973061883,40,666,989,3.08
504.178,-0.2487,488.66607044483703,124.1004725212663,41,666,989,3.08
501.3292,-0.2487,485.9049188248075,123.39925702571,42,666,989,3.08
498.4051,-0.2484,483.10756605603206,122.53458012098726,43,666,989,3.08
495.5454,-0.2483,480.3478194986288,121.78347902762815,44,666,989,3.08
