Z,θ,R,X,f,Re,Ri,Cm
+4.123199955E+02,-1.524812789E-01,407.535944240903,62.62773220224132,189,998,668,4.87
+4.121997285E+02,-1.517460521E-01,407.4629947063026,62.30990387125726,190,998,668,4.87
+4.120782783E+02,-1.510149420E-01,407.3883732404924,61.99371577149989,191,998,668,4.87
+4.119629010E+02,-1.502929982E-01,407.3189463687722,61.68231293790051,192,998,668,4.87
+4.118478722E+02,-1.495790382E-01,407.24913687933395,61.37434599818588,193,998,668,4.87
+4.117311211E+02,-1.488705638E-01,407.1770570794486,61.06848835841851,194,998,668,4.87
+4.116199144E+02,-1.481682713E-01,407.1098563796499,60.766098847994016,195,998,668,4.87
+4.115114312E+02,-1.474696400E-01,407.0449043944231,60.46572429738437,196,998,668,4.87
+4.113994313E+02,-1.467787392E-01,406.9757874565675,60.16810199823682,197,998,668,4.87
+4.112924156E+02,-1.460966687E-01,406.910856028377,59.87492276685282,198,998,668,4.87
+4.111857334E+02,-1.454184919E-01,406.84581202805106,59.58349257077503,199,998,668,4.87
+4.110808762E+02,-1.447466136E-01,406.78199239706146,59.29500348964273,200,998,668,4.87
+4.109788694E+02,-1.440824282E-01,406.7203357325892,59.01016518255294,201,998,668,4.87
+6.662600920E+02,-1.272419187E-02,666.2061572880306,8.477392486156088,1,666,989,3.08
+6.655044861E+02,-2.537979713E-02,665.2901605375189,16.888555627625795,2,666,989,3.08
+6.643718010E+02,-3.783907797E-02,663.8962353624667,25.13321777106846,3,666,989,3.08
+6.628211483E+02,-5.010767375E-02,661.9892236871964,33.19852942155318,4,666,989,3.08
+6.608786647E+02,-6.215607909E-02,659.6024635476213,41.05118192651518,5,666,989,3.08
+6.585781344E+02,-7.392071243E-02,656.7796286445111,48.63824120342341,6,666,989,3.08
+6.559314759E+02,-8.539305074E-02,653.5414114431586,55.94394163121162,7,666,989,3.08
+6.529710745E+02,-9.653906074E-02,649.9306602096935,62.93934423773753,8,666,989,3.08
+6.497417675E+02,-1.073323139E-01,646.0027731993778,69.60446431614479,9,666,989,3.08
+6.707802079E+02,-1.222293327E-01,665.7757117282912,81.78501686161476,10,666,989,3.08
+6.425076301E+02,-1.277581714E-01,637.2712053197241,81.86247984922328,11,666,989,3.08
+6.385616050E+02,-1.373599364E-01,632.5469597903829,87.4372177057331,12,666,989,3.08
