X,Y,Z,Impedance,Phase shift,Measured Freq,AC Freq,GF,SystemPS
-75,-65,0,553.962,-0.01,48,,,
-85,-51,0,553.836,-0.02,48,,,
-99,-1,0,554.2,-0.02,48,,,
-98,15,0,553.962,-0.01,48,,,
86,-49,0,553.788,-0.01,49,,,
76,-64,0,553.996,-0.02,49,,,
34,-93,0,554.074,-0.01,49,,,
17,-98,0,553.709,-0.01,49,,,
-50,-86,0,554.44,-0.01,49,,,
-94,-34,0,553.788,-0.01,49,,,
-98,-17,0,554.206,-0.01,49,,,
-93,34,0,554.074,-0.01,49,,,
63,-77,0,554.238,-0.02,50,,,
48,-87,0,554.215,-0.02,50,,,
-1,-99,0,554.032,-0.02,50,,,
-19,-98,0,553.872,-0.02,50,,,
-65,-75,0,554.169,-0.01,50,,,
-77,-62,0,554.215,-0.02,50,,,
-99,1,0,554.032,-0.02,50,,,
66,74,0,553.83,-0.02,51,,,
78,61,0,553.667,-0.02,51,,,
95,30,0,554.013,-0.02,51,,,
99,13,0,553.626,-0.02,51,,,
99,-3,0,554.013,-0.02,51,,,
92,-37,0,553.89,-0.02,51,,,
84,-52,0,553.646,-0.02,51,,,
61,-78,0,553.545,-0.02,51,,,
47,-88,0,554.013,-0.02,51,,,
31,-95,0,553.728,-0.02,51,,,
-3,-99,0,553.85,-0.02,51,,,
-20,-97,0,553.443,-0.02,51,,,
-53,-84,0,553.646,-0.02,51,,,
-67,-74,0,553.707,-0.02,51,,,
-78,-61,0,554.033,-0.02,51,,,
-95,-30,0,553.83,-0.02,51,,,
-99,-13,0,553.728,-0.02,51,,,
-92,37,0,553.748,-0.02,51,,,
54,83,0,554.324,-0.02,52,,,
89,45,0,554.407,-0.02,52,,,
97,-22,0,553.939,-0.02,52,,,
73,-68,0,553.892,-0.02,52,,,
12,-99,0,553.985,-0.02,52,,,
-39,-91,0,554.057,-0.02,52,,,
-89,-45,0,553.974,-0.02,52,,,
-99,5,0,553.791,-0.02,52,,,
-97,22,0,553.892,-0.02,52,,,
80,58,0,553.718,-0.02,53,,,
99,10,0,553.911,-0.02,53,,,
99,-6,0,554.233,-0.02,53,,,
82,-55,0,553.1,-0.02,53,,,
43,-89,0,553.933,-0.02,53,,,
27,-96,0,553.299,-0.02,53,,,
-7,-99,0,554.754,-0.02,53,,,
-24,-96,0,553.933,-0.02,53,,,
-69,-71,0,554.133,-0.02,53,,,
-80,-58,0,553.513,-0.02,53,,,
-99,-10,0,553.566,-0.02,53,,,
57,81,0,554.623,-0.02,54,,,
70,70,0,553.808,-0.02,54,,,
96,25,0,554.045,-0.02,54,,,
96,-25,0,553.762,-0.02,54,,,
90,-42,0,553.92,-0.02,54,,,
57,-81,0,553.604,-0.02,54,,,
8,-99,0,553.664,-0.02,54,,,
-57,-81,0,553.847,-0.02,54,,,
-90,-42,0,554.61,-0.02,54,,,
-96,-25,0,554.301,-0.02,54,,,
-96,25,0,554.031,-0.02,54,,,
43,89,0,553.944,-0.02,55,,,
82,55,0,554.226,-0.02,55,,,
91,40,0,554.487,-0.02,55,,,
99,-10,0,553.684,-0.02,55,,,
80,-58,0,553.802,-0.02,55,,,
69,-71,0,554.139,-0.02,55,,,
24,-96,0,553.641,-0.02,55,,,
-27,-96,0,554.389,-0.02,55,,,
-43,-89,0,553.944,-0.02,55,,,
-82,-55,0,554.063,-0.02,55,,,
-99,-6,0,553.857,-0.02,55,,,
-99,10,0,554.671,-0.02,55,,,
73,68,0,553.124,-0.02,56,,,
97,22,0,553.668,-0.02,56,,,
99,5,0,553.836,-0.02,56,,,
89,-45,0,553.676,-0.02,56,,,
54,-83,0,553.475,-0.02,56,,,
39,-91,0,554.02,-0.02,56,,,
-12,-99,0,554.213,-0.02,56,,,
-60,-79,0,553.676,-0.02,56,,,
-73,-68,0,554.477,-0.02,56,,,
-97,-22,0,554.012,-0.02,56,,,
-95,29,0,553.651,-0.02,56,,,
46,88,0,554.187,-0.02,57,,,
61,78,0,554.103,-0.02,57,,,
92,37,0,553.829,-0.02,57,,,
99,-13,0,554.747,-0.02,57,,,
95,-30,0,554.299,-0.02,57,,,
67,-74,0,554.276,-0.02,57,,,
20,-97,0,554.085,-0.02,57,,,
3,-99,0,554.394,-0.02,57,,,
-47,-88,0,554.55,-0.02,57,,,
-84,-52,0,553.846,-0.02,57,,,
-92,-37,0,554.394,-0.02,57,,,
-99,13,0,554.12,-0.02,57,,,
75,65,0,554.354,-0.02,58,,,
85,51,0,554.075,-0.02,58,,,
99,1,0,554.176,-0.02,58,,,
87,-48,0,554.825,-0.02,58,,,
77,-62,0,553.713,-0.02,58,,,
35,-93,0,554.643,-0.02,58,,,
-15,-98,0,554.169,-0.02,58,,,
-32,-94,0,554.64,-0.02,58,,,
-75,-65,0,554.361,-0.02,58,,,
-98,-18,0,553.713,-0.02,58,,,
-99,-1,0,554.179,-0.02,58,,,
64,76,0,553.414,-0.02,59,,,
93,34,0,554.337,-0.02,59,,,
98,17,0,553.319,-0.02,59,,,
94,-34,0,553.597,-0.02,59,,,
50,-86,0,553.78,-0.02,59,,,
0,-99,0,553.32,-0.02,59,,,
-50,-86,0,553.506,-0.02,59,,,
-64,-76,0,553.32,-0.02,59,,,
-94,-34,0,553.595,-0.02,59,,,
-93,34,0,553.134,-0.02,59,,,
51,85,0,553.566,-0.02,60,,,
87,48,0,553.38,-0.02,60,,,
98,-18,0,553.933,-0.02,60,,,
75,-65,0,553.745,-0.02,60,,,
63,-77,0,553.931,-0.02,60,,,
15,-98,0,553.471,-0.02,60,,,
-35,-93,0,554.023,-0.02,60,,,
-87,-48,0,553.562,-0.02,60,,,
-99,1,0,554.029,-0.02,60,,,
-98,19,0,554.12,-0.02,60,,,
-30,95,0,553.736,-0.02,61,,,
-13,99,0,553.282,-0.02,61,,,
3,99,0,553.642,-0.02,61,,,
20,97,0,553.458,-0.02,61,,,
37,92,0,553.278,-0.02,61,,,
52,84,0,553.827,-0.02,61,,,
66,74,0,553.372,-0.02,61,,,
78,61,0,553.093,-0.02,61,,,
88,46,0,553.278,-0.02,61,,,
95,30,0,553.736,-0.02,61,,,
99,13,0,553.736,-0.02,61,,,
99,-3,0,553.642,-0.02,61,,,
97,-20,0,553.462,-0.02,61,,,
92,-38,0,554.348,-0.02,62,,,
83,-54,0,553.902,-0.02,62,,,
73,-68,0,554.156,-0.02,62,,,
60,-79,0,553.978,-0.02,62,,,
45,-89,0,553.985,-0.02,62,,,
29,-95,0,554.163,-0.02,62,,,
-27,96,0,553.792,-0.02,63,,,
-10,99,0,553.107,-0.02,63,,,
6,99,0,553.089,-0.02,63,,,
24,97,0,553.388,-0.02,63,,,
40,91,0,553.66,-0.02,63,,,
55,82,0,553.37,-0.02,63,,,
70,70,0,553.614,-0.02,64,,,
81,57,0,553.528,-0.02,64,,,
90,42,0,553.43,-0.02,64,,,
96,25,0,553.614,-0.02,64,,,
99,8,0,553.246,-0.02,64,,,
99,-8,0,553.885,-0.02,64,,,
96,-25,0,553.81,-0.02,64,,,
90,-42,0,553.603,-0.02,64,,,
81,-57,0,553.897,-0.02,64,,,
70,-70,0,553.516,-0.02,64,,,
57,-81,0,553.787,-0.02,64,,,
42,-90,0,553.614,-0.02,64,,,
26,-96,0,553.626,-0.02,64,,,
-22,97,0,554.07,-0.02,66,,,
-5,99,0,553.937,-0.02,66,,,
12,99,0,553.602,-0.02,66,,,
29,95,0,553.686,-0.02,66,,,
45,89,0,553.718,-0.02,66,,,
60,79,0,554.222,-0.02,66,,,
73,68,0,553.686,-0.02,66,,,
83,54,0,553.569,-0.02,66,,,
92,39,0,553.385,-0.02,66,,,
97,22,0,553.534,-0.02,66,,,
99,3,0,554.084,-0.02,67,,,
99,-13,0,553.57,-0.02,67,,,
95,-30,0,554.084,-0.02,67,,,
88,-46,0,553.836,-0.02,67,,,
78,-61,0,553.938,-0.02,67,,,
67,-74,0,553.716,-0.02,67,,,
53,-84,0,553.634,-0.02,67,,,
37,-92,0,554.002,-0.02,67,,,
20,-97,0,554.122,-0.02,67,,,
-19,98,0,553.364,-0.02,68,,,
-1,99,0,553.159,-0.02,68,,,
15,98,0,553.752,-0.02,68,,,
34,93,0,554.068,-0.02,69,,,
49,86,0,553.829,-0.02,69,,,
64,76,0,554.355,-0.02,69,,,
76,64,0,554.196,-0.02,69,,,
86,50,0,554.036,-0.02,69,,,
93,34,0,553.9,-0.02,69,,,
98,17,0,553.829,-0.02,69,,,
99,0,0,553.773,-0.02,69,,,
98,-17,0,553.805,-0.02,69,,,
94,-34,0,554.403,-0.02,69,,,
86,-49,0,554.012,-0.02,69,,,
50,-86,0,554.219,-0.02,69,,,
17,-98,0,554.012,-0.02,69,,,
75,-65,0,553.747,-0.02,70,,,
